Emigrants,Both,"China, Taiwan Province of China",Asia,..,..,..,..,..,..,..,..,..,..,..,..,0,11,16,27,23,59,10,50,54,24,30,50,57
Emigrants,Both,Colombia,Latin America and the Caribbean,..,..,..,..,..,..,..,..,..,155,142,154,165,154,249,348,286,271,336,310,315,218,341,385,548
Emigrants,Both,Comoros,Africa,..,..,..,..,..,..,..,..,..,2,5,0,0,0,0,0,2,0,0,0,0,2,1,2,0
Emigrants,Both,Congo,Africa,..,..,..,..,..,..,..,..,..,13,27,0,0,3,6,51,36,37,26,50,51,41,37,68,50
Emigrants,Both,Costa Rica,Latin America and the Caribbean,..,..,..,..,..,..,..,..,..,178,132,97,108,92,186,94,123,92,69,137,130,146,160,195,246
Emigrants,Both,Côte d'Ivoire,Africa,..,..,..,..,..,..,..,..,..,68,98,137,158,116,144,63,59,105,48,122,136,92,90,112,109
Emigrants,Both,Croatia,Europe,..,..,..,..,..,..,..,..,..,222,363,425,323,396,353,271,362,396,309,454,492,367,351,477,419
Emigrants,Both,Cuba,Latin America and the Caribbean,..,..,..,..,..,..,..,..,..,13,39,112,159,177,154,167,116,130,146,172,184,161,170,228,290
Emigrants,Both,Cyprus,Asia,..,..,..,..,..,..,..,..,..,13,12,0,1,0,1,22,13,10,33,33,29,32,30,59,71
Emigrants,Both,Czech Republic,Europe,..,..,..,..,..,..,..,..,..,51,137,16,24,35,30,102,172,207,176,282,298,255,314,435,410
Emigrants,Both,Democratic People's Republic of Korea,Asia,..,..,..,..,..,..,..,..,..,12,18,4,11,3,8,28,30,2,11,15,20,1,12,7,5
Emigrants,Both,Democratic Republic of the Congo,Africa,..,..,..,..,..,..,..,..,..,26,34,108,157,88,193,67,47,80,49,39,39,31,53,76,48
Emigrants,Both,Denmark,Europe,151,131,125,217,206,265,221,117,119,147,444,178,174,164,206,203,208,235,199,227,236,264,308,418,468
Emigrants,Both,Djibouti,Africa,..,..,..,..,..,..,..,..,..,6,1,0,0,2,2,5,9,1,2,0,0,0,2,2,5
Emigrants,Both,Dominica,Latin America and the Caribbean,..,..,..,..,..,..,..,..,..,1,7,2,2,4,5,6,11,8,3,4,4,1,4,5,4
Emigrants,Both,Dominican Republic,Latin America and the Caribbean,..,..,..,..,..,..,..,..,..,94,123,274,298,258,336,284,297,333,344,343,344,337,432,518,478
Emigrants,Both,Ecuador,Latin America and the Caribbean,..,..,..,..,..,..,..,..,..,42,72,122,163,160,198,195,250,335,268,405,422,522,535,688,924
Emigrants,Both,Egypt,Africa,..,..,238,215,267,195,200,207,224,326,254,362,444,497,571,354,370,453,419,415,393,574,484,667,598
Emigrants,Both,El Salvador,Latin America and the Caribbean,..,..,..,..,..,..,..,..,..,26,26,14,11,14,18,15,25,53,18,15,15,21,50,46,32
Emigrants,Both,Equatorial Guinea,Africa,..,..,..,..,..,..,..,..,..,0,7,0,0,0,0,0,1,5,7,4,3,0,2,38,14
Emigrants,Both,Eritrea,Africa,..,..,..,..,..,..,..,..,..,0,0,2,10,35,30,35,50,42,40,43,41,35,41,81,34
Emigrants,Both,Estonia,Europe,..,..,..,..,..,..,..,..,..,4,6,1,0,0,1,9,21,29,32,25,29,11,34,51,48
Emigrants,Both,Ethiopia,Africa,..,..,207,193,106,67,55,59,52,92,85,145,152,160,120,66,71,89,98,45,43,91,60,125,116
Emigrants,Both,Fiji,Oceania,..,..,..,..,..,..,..,..,..,54,19,0,1,0,0,1,2,3,3,2,3,3,1,1,0
Emigrants,Both,Finland,Europe,..,..,..,..,..,..,..,..,..,89,130,154,168,188,220,174,107,265,166,224,229,195,168,260,267
Emigrants,Both,France,Europe,4288,3386,3228,5277,4695,4654,4462,4476,5181,3371,3448,2872,3394,2863,3724,4274,4524,4724,4395,5043,4778,5583,6188,7819,9514
Emigrants,Both,Gabon,Africa,..,..,..,..,..,..,..,..,..,1,1,0,0,0,0,7,4,8,9,10,11,5,7,14,36
Emigrants,Both,Gambia,Africa,..,..,..,..,..,..,..,..,..,1,0,1,2,2,0,4,6,5,0,3,3,2,1,1,5
Emigrants,Both,Georgia,Asia,..,..,..,..,..,..,..,..,..,0,0,0,0,0,2,5,9,14,6,9,11,42,44,81,68
Emigrants,Both,Germany,Europe,13668,11279,10926,26098,15735,16180,15514,17203,21407,10816,10805,9158,11413,8677,12405,15524,13923,15330,8382,9140,8555,7650,8362,12055,13708
Emigrants,Both,Ghana,Africa,..,..,..,..,..,..,..,..,..,40,59,51,155,305,269,167,128,132,104,140,162,199,176,216,210
Emigrants,Both,Greece,Europe,570,458,383,520,409,483,356,374,315,276,342,282,344,312,271,354,352,381,245,307,302,239,266,285,388
Emigrants,Both,Grenada,Latin America and the Caribbean,..,..,..,..,..,..,..,..,..,4,3,2,0,0,0,2,17,14,5,1,1,1,3,3,0
Emigrants,Both,Guatemala,Latin America and the Caribbean,..,..,..,..,..,..,..,..,..,25,29,4,5,2,2,16,15,26,28,37,37,42,38,44,66
Emigrants,Both,Guinea,Africa,..,..,..,..,..,..,..,..,..,11,22,5,1,2,7,4,9,14,7,9,9,13,13,11,19
Emigrants,Both,Guinea-Bissau,Africa,..,..,..,..,..,..,..,..,..,8,3,3,1,0,0,4,11,10,1,7,5,1,4,8,4
Emigrants,Both,Guyana,Latin America and the Caribbean,..,..,..,..,..,..,..,..,..,0,7,1,0,0,0,0,5,8,2,0,0,0,0,3,2
Emigrants,Both,Haiti,Latin America and the Caribbean,..,..,..,..,..,..,..,..,..,5,6,0,1,0,2,6,2,10,1,6,4,1,11,24,24
Emigrants,Both,Holy See,Europe,0,0,0,0,0,0,0,0,0,17,8,1,0,0,2,5,2,6,0,6,7,7,3,5,5
